Country,Source,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Nigeria,(direct),120,120,156,63.46%,1.78,00:02:10,4.49%,7,$0.00
Nigeria,google,101,99,137,68.61%,1.88,00:03:02,3.65%,5,$0.00
United Arab Emirates,(direct),83,83,85,60.00%,1.74,00:00:16,0.00%,0,$0.00
United States,google,41,40,50,74.00%,1.68,00:01:07,0.00%,0,$0.00
Nigeria,linkedin.com,40,39,53,71.70%,1.58,00:00:56,5.66%,3,$0.00
Kenya,(direct),38,38,49,75.51%,1.35,00:00:45,2.04%,1,$0.00
Kenya,google,35,35,39,82.05%,1.23,00:00:50,2.56%,1,$0.00
Ukraine,(direct),31,31,31,67.74%,4.55,00:01:05,0.00%,0,$0.00
United Arab Emirates,google,29,29,32,40.62%,2.25,00:01:37,12.50%,4,$0.00
Ireland,(direct),24,24,24,54.17%,1.54,00:00:41,0.00%,0,$0.00
United Kingdom,google,19,16,24,33.33%,2.42,00:02:04,0.00%,0,$0.00
United Arab Emirates,goodfirms.co,15,13,17,41.18%,2.18,00:01:15,35.29%,6,$0.00
Kenya,linkedin.com,15,14,21,52.38%,1.86,00:00:45,0.00%,0,$0.00
United Kingdom,(direct),14,13,27,66.67%,1.67,00:01:14,0.00%,0,$0.00
Ghana,google,13,12,17,52.94%,2.18,00:05:18,5.88%,1,$0.00
Ghana,(direct),12,12,16,62.50%,1.44,00:02:36,0.00%,0,$0.00
China,(direct),10,10,10,90.00%,1.2,00:00:16,0.00%,0,$0.00
China,sogou,10,10,10,90.00%,1.1,00:02:13,0.00%,0,$0.00
Japan,(direct),10,10,10,90.00%,1.1,00:00:02,0.00%,0,$0.00
Canada,(direct),9,9,9,44.44%,1.56,00:00:20,0.00%,0,$0.00
(not set),(direct),9,8,9,88.89%,2.56,00:00:38,0.00%,0,$0.00
Netherlands,(direct),8,8,8,75.00%,1.38,00:00:17,0.00%,0,$0.00
Senegal,(direct),8,8,8,62.50%,1.38,00:00:46,0.00%,0,$0.00
Ghana,linkedin.com,7,6,11,72.73%,1.27,00:00:28,0.00%,0,$0.00
Indonesia,google,7,7,8,62.50%,1.12,00:00:07,0.00%,0,$0.00
Pakistan,topdevelopers.co,7,7,7,71.43%,1.29,00:00:15,0.00%,0,$0.00
Singapore,google,7,7,8,50.00%,1.88,00:00:14,0.00%,0,$0.00
Tanzania,(direct),7,7,7,71.43%,1.43,00:01:08,0.00%,0,$0.00
United Arab Emirates,linkedin.com,6,5,6,66.67%,1.33,00:00:12,0.00%,0,$0.00
Canada,google,6,6,7,71.43%,1.86,00:00:56,0.00%,0,$0.00
Malaysia,google,6,6,6,83.33%,1.17,00:00:07,0.00%,0,$0.00
Philippines,google,6,4,8,37.50%,2.25,00:01:51,0.00%,0,$0.00
Saudi Arabia,linkedin.com,6,6,9,88.89%,1.33,00:00:13,0.00%,0,$0.00
Uganda,(direct),6,6,6,50.00%,1.5,00:05:15,0.00%,0,$0.00
Vietnam,(direct),6,6,6,50.00%,1.5,00:00:45,0.00%,0,$0.00
Côte d’Ivoire,(direct),5,5,5,60.00%,2,00:01:09,0.00%,0,$0.00
United Kingdom,linkedin.com,5,4,6,50.00%,2,00:04:57,0.00%,0,$0.00
Ukraine,google,5,5,6,83.33%,1.67,00:00:27,0.00%,0,$0.00
South Africa,(direct),5,5,7,85.71%,1.29,00:00:58,0.00%,0,$0.00
(not set),google,5,3,6,50.00%,2.17,00:02:22,0.00%,0,$0.00
United Kingdom,email,4,3,7,85.71%,1.29,00:00:15,0.00%,0,$0.00
Ghana,camextreasury.com,4,3,5,40.00%,1.8,00:01:51,0.00%,0,$0.00
Italy,google,4,4,4,50.00%,1.5,00:00:10,0.00%,0,$0.00
Pakistan,google,4,4,4,50.00%,2,00:00:13,0.00%,0,$0.00
Russia,(direct),4,4,4,75.00%,1.5,00:00:08,0.00%,0,$0.00
Saudi Arabia,(direct),4,4,4,0.00%,2.5,00:05:10,0.00%,0,$0.00
Tanzania,linkedin.com,4,4,4,75.00%,1.25,00:00:43,0.00%,0,$0.00
Vietnam,goodfirms.co,4,3,4,50.00%,1.5,00:00:05,0.00%,0,$0.00
Bangladesh,(direct),3,3,4,50.00%,1.75,00:00:21,0.00%,0,$0.00
Côte d’Ivoire,linkedin.com,3,3,3,0.00%,2.33,00:02:26,0.00%,0,$0.00
